

 
Date,Batter,Tm,Opp,Pitcher,WPA,RE24,LI
1973-04-06,Joe Ferguson,LAD,@SDP,Clay Kirby\batter_vs_pitcher.cgi?pitcher=kirbycl01&batter=fergujo01,0.03,1.00,.64
1973-04-07,Pedro Garcia,MIL,@BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=garcipe01,0.24,2.37,2.08
1973-04-07,Dave May,MIL,@BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=mayda01,0.06,1.59,.47
1973-04-07,Merv Rettenmund,BAL,MIL,Frank Linzy\batter_vs_pitcher.cgi?pitcher=linzyfr01&batter=retteme01,0.20,2.37,1.69
1973-04-07,Dave May,MIL,@BAL,Doyle Alexander\batter_vs_pitcher.cgi?pitcher=alexado01&batter=mayda01,0.34,1.00,2.28
1973-04-07,Gene Michael,NYY,@BOS,Marty Pattin\batter_vs_pitcher.cgi?pitcher=pattima01&batter=michage01,0.10,1.00,.67
1973-04-07,Carl Yastrzemski,BOS,NYY,Steve Kline\batter_vs_pitcher.cgi?pitcher=klinest01&batter=yastrca01,0.10,1.00,.59
1973-04-07,Rico Petrocelli,BOS,NYY,Jim Magnuson\batter_vs_pitcher.cgi?pitcher=magnuji01&batter=petrori01,0.00,2.67,.03
1973-04-07,Graig Nettles,NYY,@BOS,Marty Pattin\batter_vs_pitcher.cgi?pitcher=pattima01&batter=nettlgr01,0.00,1.61,.01
1973-04-07,Willie McCovey,SFG,@CIN,Jack Billingham\batter_vs_pitcher.cgi?pitcher=billija01&batter=mccovwi01,0.09,1.00,.31
1973-04-07,Jim Willoughby,SFG,@CIN,Tom Hall\batter_vs_pitcher.cgi?pitcher=hallto01&batter=willoji01,0.05,1.00,.32
1973-04-07,Bobby Bonds,SFG,@CIN,Tom Hall\batter_vs_pitcher.cgi?pitcher=hallto01&batter=bondsbo01,0.03,1.00,.18
1973-04-07,Bobby Tolan,CIN,SFG,Jim Willoughby\batter_vs_pitcher.cgi?pitcher=willoji01&batter=tolanbo01,0.43,2.39,2.58
1973-04-07,Chris Chambliss,CLE,DET,Mickey Lolich\batter_vs_pitcher.cgi?pitcher=lolicmi01&batter=chambch01,0.16,1.59,1.22
1973-04-07,Mickey Stanley,DET,@CLE,Gaylord Perry\batter_vs_pitcher.cgi?pitcher=perryga01&batter=stanlmi01,0.12,1.00,1.43
1973-04-07,John Milner,NYM,PHI,Jim Lonborg\batter_vs_pitcher.cgi?pitcher=lonboji01&batter=milnejo01,0.12,1.00,.70
1973-04-07,Bill Robinson,PHI,@NYM,Jon Matlack\batter_vs_pitcher.cgi?pitcher=matlajo01&batter=robinbi02,0.17,1.00,1.46
1973-04-07,Gene Tenace,OAK,MIN,Bill Hands\batter_vs_pitcher.cgi?pitcher=handsbi01&batter=tenacge01,0.12,1.00,.42
1973-04-07,Larry Hisle,MIN,@OAK,Blue Moon Odom\batter_vs_pitcher.cgi?pitcher=odombl01&batter=hislela01,0.25,2.62,1.90
1973-04-07,Reggie Jackson,OAK,MIN,Ken Sanders\batter_vs_pitcher.cgi?pitcher=sandeke01&batter=jacksre01,0.05,1.00,.82
1973-04-07,Joe Ferguson,LAD,@SDP,Fred Norman\batter_vs_pitcher.cgi?pitcher=normafr01&batter=fergujo01,0.12,1.00,.93
1973-04-07,Cito Gaston,SDP,LAD,Andy Messersmith\batter_vs_pitcher.cgi?pitcher=messean01&batter=gastoci01,0.60,2.69,2.84
1973-04-07,Jerry Morales,SDP,LAD,Jim Brewer\batter_vs_pitcher.cgi?pitcher=breweji01&batter=moralje01,0.43,1.00,1.63
1973-04-07,Dick Allen,CHW,@TEX,Dick Bosman\batter_vs_pitcher.cgi?pitcher=bosmadi01&batter=allendi01,0.12,1.00,.93
1973-04-08,Thurman Munson,NYY,@BOS,John Curtis\batter_vs_pitcher.cgi?pitcher=curtijo01&batter=munsoth01,0.10,1.00,.82
1973-04-08,Orlando Cepeda,BOS,NYY,Sparky Lyle\batter_vs_pitcher.cgi?pitcher=lylesp01&batter=cepedor01,0.36,1.00,2.27
1973-04-08,Hal McRae,KCR,@CAL,Rudy May\batter_vs_pitcher.cgi?pitcher=mayru01&batter=mcraeha01,0.11,1.00,1.03
1973-04-08,Lou Piniella,KCR,@CAL,Rudy May\batter_vs_pitcher.cgi?pitcher=mayru01&batter=pinielo01,0.14,1.00,1.15
1973-04-08,Amos Otis,KCR,@CAL,Rudy May\batter_vs_pitcher.cgi?pitcher=mayru01&batter=otisam01,0.16,1.00,.84
1973-04-08,Pepe Mangual,MON,@CHC,Burt Hooton\batter_vs_pitcher.cgi?pitcher=hootobu01&batter=mangupe01,0.17,1.74,1.15
1973-04-08,Norm Cash,DET,@CLE,Dick Tidrow\batter_vs_pitcher.cgi?pitcher=tidrodi01&batter=cashno01,0.11,1.62,1.03
1973-04-08,Danny Walton,MIN,@OAK,Ken Holtzman\batter_vs_pitcher.cgi?pitcher=holtzke01&batter=waltoda01,0.09,1.00,.32
1973-04-08 (1),Cesar Cedeno,HOU,@ATL,Pat Dobson\batter_vs_pitcher.cgi?pitcher=dobsopa01&batter=cedence01,0.09,1.00,.56
1973-04-08 (1),Darrell Evans,ATL,HOU,Ken Forsch\batter_vs_pitcher.cgi?pitcher=forscke01&batter=evansda01,0.10,1.00,.97
1973-04-08 (1),Dusty Baker,ATL,HOU,Ken Forsch\batter_vs_pitcher.cgi?pitcher=forscke01&batter=bakerdu01,0.26,1.87,1.09
1973-04-08 (1),Joe Torre,STL,@PIT,Nelson Briles\batter_vs_pitcher.cgi?pitcher=brilene01&batter=torrejo01,0.22,1.76,1.38
1973-04-08 (1),Bob Robertson,PIT,STL,Wayne Granger\batter_vs_pitcher.cgi?pitcher=grangwa01&batter=roberbo01,0.43,1.00,1.71
1973-04-08 (2),Mike Lum,ATL,HOU,Fred Gladding\batter_vs_pitcher.cgi?pitcher=gladdfr01&batter=lummi01,0.45,1.62,3.45
1973-04-08 (2),Willie Stargell,PIT,STL,Scipio Spinks\batter_vs_pitcher.cgi?pitcher=spinksc01&batter=stargwi01,0.12,1.00,1.00
1973-04-08 (2),Milt May,PIT,STL,Scipio Spinks\batter_vs_pitcher.cgi?pitcher=spinksc01&batter=maymi01,0.26,1.63,2.30
1973-04-08 (2),Gene Alley,PIT,STL,Al Santorini\batter_vs_pitcher.cgi?pitcher=santoal01&batter=alleyge01,0.11,1.00,.81
1973-04-09,Marty Perez,ATL,CIN,Roger Nelson\batter_vs_pitcher.cgi?pitcher=nelsoro02&batter=perezma01,0.29,2.61,2.18
1973-04-09,Johnny Bench,CIN,@ATL,Carl Morton\batter_vs_pitcher.cgi?pitcher=mortoca01&batter=benchjo01,0.19,1.32,1.95
1973-04-09,Jim Wynn,HOU,LAD,Charlie Hough\batter_vs_pitcher.cgi?pitcher=houghch01&batter=wynnji01,0.11,1.88,.47
1973-04-09,Chris Speier,SFG,SDP,Mike Caldwell\batter_vs_pitcher.cgi?pitcher=caldwmi01&batter=speiech01,0.16,1.00,.86
1973-04-10,Lee May,HOU,LAD,Jim Brewer\batter_vs_pitcher.cgi?pitcher=breweji01&batter=mayle01,0.44,1.00,3.35
1973-04-10,John Mayberry,KCR,TEX,Bill Gogolewski\batter_vs_pitcher.cgi?pitcher=gogolbi01&batter=maybejo01,0.00,1.87,.03
1973-04-10,Jeff Burroughs,TEX,@KCR,Paul Splittorff\batter_vs_pitcher.cgi?pitcher=splitpa01&batter=burroje01,0.00,1.00,.00
1973-04-10,Willie Montanez,PHI,MON,Mike Torrez\batter_vs_pitcher.cgi?pitcher=torremi01&batter=montawi01,0.17,1.75,1.09
1973-04-10,Hal Breeden,MON,@PHI,Steve Carlton\batter_vs_pitcher.cgi?pitcher=carltst01&batter=breedha01,0.04,1.00,.23
1973-04-11,Vada Pinson,CAL,MIN,Bill Hands\batter_vs_pitcher.cgi?pitcher=handsbi01&batter=pinsova01,0.11,1.00,.40
1973-04-11,Joe Rudi,OAK,@CHW,Wilbur Wood\batter_vs_pitcher.cgi?pitcher=woodwi01&batter=rudijo01,0.12,1.00,.97
1973-04-11,Angel Mangual,OAK,@CHW,Denny O'Toole\batter_vs_pitcher.cgi?pitcher=o'toode01&batter=manguan01,0.01,2.67,.05
1973-04-11,Sal Bando,OAK,@CHW,Denny O'Toole\batter_vs_pitcher.cgi?pitcher=o'toode01&batter=bandosa01,0.00,1.00,.00
1973-04-11,Norm Cash,DET,BAL,Jim Palmer\batter_vs_pitcher.cgi?pitcher=palmeji01&batter=cashno01,0.11,1.00,.92
1973-04-11,John Mayberry,KCR,TEX,Don Stanhouse\batter_vs_pitcher.cgi?pitcher=stanhdo01&batter=maybejo01,0.16,1.86,1.47
1973-04-11,Tony Perez,CIN,@LAD,Don Sutton\batter_vs_pitcher.cgi?pitcher=suttodo01&batter=perezto01,0.09,1.00,.47
1973-04-11,Cesar Geronimo,CIN,@LAD,Don Sutton\batter_vs_pitcher.cgi?pitcher=suttodo01&batter=geronce01,0.06,1.00,.32
1973-04-11,Henry Aaron,ATL,@SDP,Rich Troedson\batter_vs_pitcher.cgi?pitcher=troedri01&batter=aaronha01,0.05,2.69,.39
1973-04-11,Darrell Evans,ATL,@SDP,Bob Miller\batter_vs_pitcher.cgi?pitcher=millebo04&batter=evansda01,0.00,1.00,.01
1973-04-11,Jim Wynn,HOU,@SFG,Jim Willoughby\batter_vs_pitcher.cgi?pitcher=willoji01&batter=wynnji01,0.10,1.00,.87
1973-04-11,Jim Wynn,HOU,@SFG,Jim Willoughby\batter_vs_pitcher.cgi?pitcher=willoji01&batter=wynnji01,0.14,1.00,1.27
1973-04-11,Johnny Edwards,HOU,@SFG,Jim Willoughby\batter_vs_pitcher.cgi?pitcher=willoji01&batter=edwarjo01,0.18,1.00,.65
1973-04-11,Ed Goodson,SFG,HOU,Tom Griffin\batter_vs_pitcher.cgi?pitcher=griffto02&batter=goodsed01,0.23,1.00,1.91
1973-04-11,Willie McCovey,SFG,HOU,Mike Cosgrove\batter_vs_pitcher.cgi?pitcher=cosgrmi01&batter=mccovwi01,0.67,1.62,5.40
1973-04-11,John Milner,NYM,@STL,Reggie Cleveland\batter_vs_pitcher.cgi?pitcher=clevere01&batter=milnejo01,0.09,1.00,.32
1973-04-12,Gene Tenace,OAK,@CHW,Stan Bahnsen\batter_vs_pitcher.cgi?pitcher=bahnsst01&batter=tenacge01,0.18,1.74,1.23
1973-04-12,Ken Henderson,CHW,OAK,Rollie Fingers\batter_vs_pitcher.cgi?pitcher=fingero01&batter=hendeke01,0.42,2.69,6.56
1973-04-12,Jorge Roque,MON,@PHI,Jim Lonborg\batter_vs_pitcher.cgi?pitcher=lonboji01&batter=roquejo01,0.30,3.35,2.89
1973-04-12,Coco Laboy,MON,@PHI,Jim Lonborg\batter_vs_pitcher.cgi?pitcher=lonboji01&batter=laboyco01,0.05,1.00,.36
1973-04-12,Manny Sanguillen,PIT,CHC,Fergie Jenkins\batter_vs_pitcher.cgi?pitcher=jenkife01&batter=sanguma01,0.13,1.00,.70
1973-04-12,Milt May,PIT,CHC,Fergie Jenkins\batter_vs_pitcher.cgi?pitcher=jenkife01&batter=maymi01,0.17,1.76,1.08
1973-04-12,Henry Aaron,ATL,@SDP,Fred Norman\batter_vs_pitcher.cgi?pitcher=normafr01&batter=aaronha01,0.20,1.00,.63
1973-04-12,Willie McCovey,SFG,HOU,Ken Forsch\batter_vs_pitcher.cgi?pitcher=forscke01&batter=mccovwi01,0.12,1.00,1.13
1973-04-12,Gary Thomasson,SFG,HOU,Ken Forsch\batter_vs_pitcher.cgi?pitcher=forscke01&batter=thomaga01,0.25,1.75,1.60
1973-04-12,Willie McCovey,SFG,HOU,Jim Crawford\batter_vs_pitcher.cgi?pitcher=crawfji01&batter=mccovwi01,0.10,2.61,.81
1973-04-12,Jose Cruz,STL,NYM,Tom Seaver\batter_vs_pitcher.cgi?pitcher=seaveto01&batter=cruzjo01,0.14,1.00,1.49
1973-04-13,Amos Otis,KCR,@CHW,Eddie Fisher\batter_vs_pitcher.cgi?pitcher=fisheed02&batter=otisam01,0.11,1.00,1.03
1973-04-13,Bill Buckner,LAD,ATL,Phil Niekro\batter_vs_pitcher.cgi?pitcher=niekrph01&batter=bucknbi01,0.05,1.00,.23
1973-04-13,Pedro Garcia,MIL,BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=garcipe01,0.13,1.00,.46
1973-04-13,Ollie Brown,MIL,BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=brownol02,0.11,1.00,.81
1973-04-13,Larry Hisle,MIN,OAK,Paul Lindblad\batter_vs_pitcher.cgi?pitcher=lindbpa01&batter=hislela01,0.04,1.00,.33
1973-04-13,Bobby Darwin,MIN,OAK,Paul Lindblad\batter_vs_pitcher.cgi?pitcher=lindbpa01&batter=darwibo01,0.05,1.87,.21
1973-04-13,Reggie Jackson,OAK,@MIN,Jim Kaat\batter_vs_pitcher.cgi?pitcher=kaatji01&batter=jacksre01,0.02,1.87,.14
1973-04-13,Sal Bando,OAK,@MIN,Jim Kaat\batter_vs_pitcher.cgi?pitcher=kaatji01&batter=bandosa01,0.03,1.78,.21
1973-04-13,Deron Johnson,PHI,NYM,Jon Matlack\batter_vs_pitcher.cgi?pitcher=matlajo01&batter=johnsde01,0.06,2.02,.63
1973-04-13,Jim Wynn,HOU,@SDP,Steve Arlin\batter_vs_pitcher.cgi?pitcher=arlinst01&batter=wynnji01,0.13,1.00,1.04
1973-04-13,Bob Watson,HOU,@SDP,Steve Arlin\batter_vs_pitcher.cgi?pitcher=arlinst01&batter=watsobo01,0.14,1.00,.45
1973-04-13,Cesar Cedeno,HOU,@SDP,Steve Arlin\batter_vs_pitcher.cgi?pitcher=arlinst01&batter=cedence01,0.13,1.00,.42
1973-04-13,Chris Speier,SFG,CIN,Ross Grimsley\batter_vs_pitcher.cgi?pitcher=grimsro02&batter=speiech01,0.14,1.00,.77
1973-04-13,Richie Scheinblum,CIN,@SFG,Ron Bryant\batter_vs_pitcher.cgi?pitcher=bryanro01&batter=scheiri01,0.28,1.33,2.76
1973-04-13,Tony Perez,CIN,@SFG,Ron Bryant\batter_vs_pitcher.cgi?pitcher=bryanro01&batter=perezto01,0.36,1.75,2.43
1973-04-13,Jose Cruz,STL,CHC,Milt Pappas\batter_vs_pitcher.cgi?pitcher=pappami01&batter=cruzjo01,0.09,1.88,.36
1973-04-14,Aurelio Rodriguez,DET,CLE,Tom Hilgendorf\batter_vs_pitcher.cgi?pitcher=hilgeto01&batter=rodriau01,0.01,1.00,.08
1973-04-14,Reggie Jackson,OAK,@MIN,Bert Blyleven\batter_vs_pitcher.cgi?pitcher=blylebe01&batter=jacksre01,0.18,1.78,1.12
1973-04-14,Tim Foli,MON,PIT,Nelson Briles\batter_vs_pitcher.cgi?pitcher=brilene01&batter=foliti01,0.37,1.62,3.03
1973-04-14,Ron Fairly,MON,PIT,Nelson Briles\batter_vs_pitcher.cgi?pitcher=brilene01&batter=fairlro01,0.30,1.00,1.37
1973-04-14,Vic Davalillo,PIT,@MON,Tom Walker\batter_vs_pitcher.cgi?pitcher=walketo02&batter=davalvi01,0.02,1.00,.38
1973-04-14,Felipe Alou,NYY,BOS,Luis Tiant\batter_vs_pitcher.cgi?pitcher=tiantlu01&batter=aloufe01,0.12,1.00,.45
1973-04-14,Doug Griffin,BOS,@NYY,Fritz Peterson\batter_vs_pitcher.cgi?pitcher=peterfr01&batter=griffdo01,0.14,1.00,.46
1973-04-14,Mike Anderson,PHI,NYM,Ray Sadecki\batter_vs_pitcher.cgi?pitcher=sadecra01&batter=andermi01,0.17,2.37,1.71
1973-04-14,Doug Rader,HOU,@SDP,Mike Caldwell\batter_vs_pitcher.cgi?pitcher=caldwmi01&batter=raderdo02,0.18,1.64,1.63
1973-04-14,Cito Gaston,SDP,HOU,Jerry Reuss\batter_vs_pitcher.cgi?pitcher=reussje01&batter=gastoci01,0.11,1.00,.96
1973-04-14,Jim Wynn,HOU,@SDP,Vicente Romo\batter_vs_pitcher.cgi?pitcher=romovi01&batter=wynnji01,0.07,1.76,.46
1973-04-14,Johnny Bench,CIN,@SFG,Jim Barr\batter_vs_pitcher.cgi?pitcher=barrji01&batter=benchjo01,0.13,1.00,.77
1973-04-14,Ray Busse,STL,CHC,Rick Reuschel\batter_vs_pitcher.cgi?pitcher=reuscri01&batter=bussera01,0.12,1.00,.45
1973-04-15,Freddie Patek,KCR,@CHW,Stan Bahnsen\batter_vs_pitcher.cgi?pitcher=bahnsst01&batter=patekfr01,0.10,1.00,.87
1973-04-15,Hal McRae,KCR,@CHW,Stan Bahnsen\batter_vs_pitcher.cgi?pitcher=bahnsst01&batter=mcraeha01,0.17,1.87,.72
1973-04-15,Ed Kirkpatrick,KCR,@CHW,Rich Gossage\batter_vs_pitcher.cgi?pitcher=gossari01&batter=kirkped01,0.03,2.08,.36
1973-04-15,John Mayberry,KCR,@CHW,Steve Stone\batter_vs_pitcher.cgi?pitcher=stonest01&batter=maybejo01,0.00,1.00,.03
1973-04-15,Bill Melton,CHW,KCR,Steve Busby\batter_vs_pitcher.cgi?pitcher=busbyst01&batter=meltobi01,0.00,1.62,.00
1973-04-15,Charlie Spikes,CLE,@DET,Tom Timmermann\batter_vs_pitcher.cgi?pitcher=timmeto01&batter=spikech01,0.25,2.67,1.84
1973-04-15,Von Joshua,LAD,ATL,Gary Gentry\batter_vs_pitcher.cgi?pitcher=gentrga01&batter=joshuvo01,0.14,2.39,1.48
1973-04-15,Henry Aaron,ATL,@LAD,Al Downing\batter_vs_pitcher.cgi?pitcher=downial01&batter=aaronha01,0.01,1.00,.05
1973-04-15,Willie Stargell,PIT,@MON,Mike Torrez\batter_vs_pitcher.cgi?pitcher=torremi01&batter=stargwi01,0.12,1.00,.95
1973-04-15,Gene Alley,PIT,@MON,Mike Marshall\batter_vs_pitcher.cgi?pitcher=marshmi01&batter=alleyge01,0.04,2.09,.62
1973-04-15,John Milner,NYM,@PHI,Jim Lonborg\batter_vs_pitcher.cgi?pitcher=lonboji01&batter=milnejo01,0.18,1.75,1.16
1973-04-15,Joe Pepitone,CHC,@STL,Reggie Cleveland\batter_vs_pitcher.cgi?pitcher=clevere01&batter=pepitjo01,0.38,2.68,2.10
1973-04-15 (1),Gorman Thomas,MIL,BAL,Jim Palmer\batter_vs_pitcher.cgi?pitcher=palmeji01&batter=thomago01,0.44,1.00,3.36
1973-04-15 (1),Jerry Morales,SDP,HOU,Dave Roberts\batter_vs_pitcher.cgi?pitcher=roberda05&batter=moralje01,0.12,1.00,.39
1973-04-15 (1),Fred Kendall,SDP,HOU,Dave Roberts\batter_vs_pitcher.cgi?pitcher=roberda05&batter=kendafr01,0.16,1.76,1.02
1973-04-15 (2),George Scott,MIL,BAL,Orlando Pena\batter_vs_pitcher.cgi?pitcher=penaor01&batter=scottge02,0.18,1.75,1.23
1973-04-15 (2),Joe Morgan,CIN,@SFG,Jim Willoughby\batter_vs_pitcher.cgi?pitcher=willoji01&batter=morgajo02,0.11,1.00,.71
1973-04-15 (2),Joe Morgan,CIN,@SFG,Elias Sosa\batter_vs_pitcher.cgi?pitcher=sosael01&batter=morgajo02,0.02,1.00,.12
1973-04-16,Willie Horton,DET,@BOS,Marty Pattin\batter_vs_pitcher.cgi?pitcher=pattima01&batter=hortowi01,0.06,2.67,.45
1973-04-16,Rico Petrocelli,BOS,DET,Mickey Lolich\batter_vs_pitcher.cgi?pitcher=lolicmi01&batter=petrori01,0.01,1.00,.07
1973-04-16,Reggie Smith,BOS,DET,Mickey Lolich\batter_vs_pitcher.cgi?pitcher=lolicmi01&batter=smithre06,0.03,1.74,.23
1973-04-16,Tony Taylor,DET,@BOS,Bill Lee\batter_vs_pitcher.cgi?pitcher=leebi03&batter=tayloto02,0.02,1.00,.13
1973-04-16,Reggie Smith,BOS,DET,Lerrin LaGrow\batter_vs_pitcher.cgi?pitcher=lagrole01&batter=smithre06,0.01,1.00,.07
1973-04-16,Carlton Fisk,BOS,DET,Lerrin LaGrow\batter_vs_pitcher.cgi?pitcher=lagrole01&batter=fiskca01,0.05,1.61,.94
1973-04-16,Tony Perez,CIN,@SDP,Clay Kirby\batter_vs_pitcher.cgi?pitcher=kirbycl01&batter=perezto01,0.12,1.00,.39
1973-04-16,Dave Concepcion,CIN,@SDP,Clay Kirby\batter_vs_pitcher.cgi?pitcher=kirbycl01&batter=conceda01,0.18,2.64,1.34
1973-04-16,Johnny Bench,CIN,@SDP,Rich Troedson\batter_vs_pitcher.cgi?pitcher=troedri01&batter=benchjo01,0.07,1.00,.50
1973-04-16,Nate Colbert,SDP,CIN,Clay Carroll\batter_vs_pitcher.cgi?pitcher=carrocl02&batter=colbena01,0.03,1.89,.42
1973-04-17,Earl Williams,BAL,NYY,Sparky Lyle\batter_vs_pitcher.cgi?pitcher=lylesp01&batter=williea02,0.34,1.75,3.42
1973-04-17,Carlton Fisk,BOS,DET,Joe Coleman\batter_vs_pitcher.cgi?pitcher=colemjo05&batter=fiskca01,0.11,1.00,.46
1973-04-17,Norm Cash,DET,@BOS,Lynn McGlothen\batter_vs_pitcher.cgi?pitcher=mcgloly01&batter=cashno01,0.12,1.00,1.08
1973-04-17,Al Kaline,DET,@BOS,Lynn McGlothen\batter_vs_pitcher.cgi?pitcher=mcgloly01&batter=kalinal01,0.08,1.61,.75
1973-04-17,Rico Petrocelli,BOS,DET,Joe Coleman\batter_vs_pitcher.cgi?pitcher=colemjo05&batter=petrori01,0.03,1.00,.42
1973-04-17,Carlton Fisk,BOS,DET,Joe Coleman\batter_vs_pitcher.cgi?pitcher=colemjo05&batter=fiskca01,0.06,1.00,.70
1973-04-17,Bill Melton,CHW,TEX,Dick Bosman\batter_vs_pitcher.cgi?pitcher=bosmadi01&batter=meltobi01,0.07,1.74,.48
1973-04-17,Dave Nelson,TEX,@CHW,Eddie Fisher\batter_vs_pitcher.cgi?pitcher=fisheed02&batter=nelsoda01,0.00,1.62,.01
1973-04-17,Dave Nelson,TEX,@CHW,Eddie Fisher\batter_vs_pitcher.cgi?pitcher=fisheed02&batter=nelsoda01,0.00,2.67,.00
1973-04-17,Don Money,MIL,@CLE,Dick Tidrow\batter_vs_pitcher.cgi?pitcher=tidrodi01&batter=moneydo01,0.04,1.00,.47
1973-04-17,John Briggs,MIL,@CLE,Dick Tidrow\batter_vs_pitcher.cgi?pitcher=tidrodi01&batter=briggjo02,0.06,1.00,.66
1973-04-17,Pedro Garcia,MIL,@CLE,Dick Tidrow\batter_vs_pitcher.cgi?pitcher=tidrodi01&batter=garcipe01,0.08,1.00,.33
1973-04-17,George Hendrick,CLE,MIL,Bill Champion\batter_vs_pitcher.cgi?pitcher=champbi01&batter=hendrge01,0.07,1.00,.25
1973-04-17,Willie Davis,LAD,HOU,Don Wilson\batter_vs_pitcher.cgi?pitcher=wilsodo01&batter=daviswi02,0.17,1.60,1.25
1973-04-17,Ron Cey,LAD,HOU,Don Wilson\batter_vs_pitcher.cgi?pitcher=wilsodo01&batter=ceyro01,0.05,2.69,.36
1973-04-17,Danny Walton,MIN,CAL,Steve Barber\batter_vs_pitcher.cgi?pitcher=barbest01&batter=waltoda01,0.38,2.69,5.19
1973-04-17,Ron Fairly,MON,PHI,Wayne Twitchell\batter_vs_pitcher.cgi?pitcher=twitcwa01&batter=fairlro01,0.05,1.00,.25
1973-04-17,Rick Monday,CHC,@NYM,Tom Seaver\batter_vs_pitcher.cgi?pitcher=seaveto01&batter=mondari01,0.13,1.00,1.08
1973-04-17,Joe Morgan,CIN,@SDP,Fred Norman\batter_vs_pitcher.cgi?pitcher=normafr01&batter=morgajo02,0.21,1.89,.82
1973-04-17 (1),Tito Fuentes,SFG,ATL,Tom House\batter_vs_pitcher.cgi?pitcher=houseto01&batter=fuentti01,0.00,1.00,.02
1973-04-17 (1),Davey Johnson,ATL,@SFG,Jim Barr\batter_vs_pitcher.cgi?pitcher=barrji01&batter=johnsda02,0.00,1.00,.00
1973-04-17 (2),Bobby Bonds,SFG,ATL,Ron Reed\batter_vs_pitcher.cgi?pitcher=reedro01&batter=bondsbo01,0.10,1.00,.79
1973-04-18,Earl Williams,BAL,NYY,Doc Medich\batter_vs_pitcher.cgi?pitcher=medicdo01&batter=williea02,0.16,1.75,1.07
1973-04-18,Thurman Munson,NYY,@BAL,Mike Cuellar\batter_vs_pitcher.cgi?pitcher=cuellmi01&batter=munsoth01,0.36,1.62,2.83
1973-04-18,Felipe Alou,NYY,@BAL,Grant Jackson\batter_vs_pitcher.cgi?pitcher=jacksgr01&batter=aloufe01,0.14,1.88,.60
1973-04-18,Al Kaline,DET,@BOS,Luis Tiant\batter_vs_pitcher.cgi?pitcher=tiantlu01&batter=kalinal01,0.10,1.00,.40
1973-04-18,Willie Horton,DET,@BOS,Luis Tiant\batter_vs_pitcher.cgi?pitcher=tiantlu01&batter=hortowi01,0.10,1.00,.82
1973-04-18,Ed Brinkman,DET,@BOS,Bill Lee\batter_vs_pitcher.cgi?pitcher=leebi03&batter=brinked01,0.04,1.00,.35
1973-04-18,Dick Allen,CHW,TEX,Mike Paul\batter_vs_pitcher.cgi?pitcher=paulmi01&batter=allendi01,0.16,1.65,1.76
1973-04-18,Bill Melton,CHW,TEX,Mike Paul\batter_vs_pitcher.cgi?pitcher=paulmi01&batter=meltobi01,0.07,1.00,.62
